teamname,did_draw_since,non_draw_in_a_row,non_draw_in_a_row_since,draw_games_prop,draw_games_prop_since,last_non_draw_games
Salisbury,1,0.00,53.33,19.05,16.67,6.67
Barrow,0,26.67,100.00,28.07,0.00,26.67
Ebbsfleet,0,0.00,100.00,24.73,0.00,13.33
Hayes & Yeading,0,6.67,100.00,19.12,0.00,26.67
Kettering Town,0,26.67,100.00,25.82,0.00,6.67
Histon,0,13.33,100.00,26.47,0.00,0.00
Rushden & D,0,53.33,100.00,30.88,0.00,20.00
Eastbourne Borough,0,20.00,100.00,20.59,0.00,20.00
Espanol,1,0.00,53.33,24.42,20.69,6.67
Almeria,1,6.67,33.33,26.67,16.67,13.33
La Coruna,1,0.00,66.67,23.77,22.58,20.00
Granada,0,0.00,6.67,22.60,13.33,0.00
Ath Bilbao,1,6.67,53.33,22.58,24.14,0.00
Malaga,0,26.67,73.33,26.27,27.59,6.67
Valencia,1,0.00,60.00,22.12,20.69,0.00
Sevilla,0,0.00,60.00,21.66,27.59,20.00
Elche,1,0.00,60.00,27.43,33.33,20.00
Barcelona,0,0.00,40.00,14.75,10.34,46.67
Getafe,1,0.00,33.33,24.31,23.33,0.00
Celta,1,0.00,26.67,28.76,20.69,13.33
Sociedad,1,0.00,46.67,28.00,27.59,26.67
Villarreal,1,26.67,33.33,27.15,16.67,6.67
Levante,1,6.67,46.67,26.22,34.48,13.33
Cordoba,1,20.00,53.33,27.20,25.00,13.33
Real Madrid,1,0.00,26.67,11.98,17.24,6.67
Ath Madrid,0,0.00,13.33,20.28,17.24,6.67
Vallecano,1,0.00,6.67,22.27,10.34,33.33
Valladolid,1,33.33,73.33,28.89,37.93,6.67
Osasuna,1,13.33,60.00,27.65,17.24,20.00
Betis,1,26.67,53.33,24.89,24.14,6.67
Mallorca,1,33.33,60.00,24.66,35.48,0.00
Zaragoza,1,0.00,53.33,24.66,29.03,0.00
Sp Gijon,1,0.00,80.00,26.46,43.75,0.00
Santander,1,20.00,93.33,29.38,66.67,6.67
Hercules,1,0.00,40.00,25.96,21.88,46.67
Tenerife,1,0.00,53.33,24.50,27.59,6.67
Xerez,0,6.67,100.00,23.79,0.00,60.00
Recreativo,1,0.00,53.33,30.64,31.25,6.67
Numancia,1,0.00,80.00,27.66,46.88,0.00
Las Palmas,0,33.33,40.00,32.64,28.12,6.67
Barcelona B,1,0.00,6.67,24.52,12.50,46.67
Alcorcon,1,0.00,73.33,20.65,28.12,0.00
Albacete,1,40.00,100.00,30.95,0.00,60.00
